Country,LOCATION,Year,"Passenger car registrations sa, Index","Permits issued for dwellings sa, Index","Production in total manufacturing sa, Index","Production of electricity, gas, steam and air conditioning supply sa, index","Production of total construction sa, Index","Production of total energy sa, Index","Production of total industry sa, Index","Production of total manufactured intermediate goods sa, Index","Production of total manufactured investment goods sa, Index","Total retail trade (Volume) sa, Index","Work started for dwellings sa, Index"
Australia,AUS,2000,107.3669,57.15109,98.49372,,47.84125,,70.86642,,,57.69667,62.9238
Australia,AUS,2001,102.6701,61.87128,98.55775,,45.79744,,71.85328,,,60.15889,60.99082
Australia,AUS,2002,104.762,74.1684,103.1726,,55.03091,,73.78157,,,63.93376,76.70287
Australia,AUS,2003,114.1226,74.69143,106.2267,,59.85573,,73.77186,,,67.94049,74.74987
Australia,AUS,2004,114.4085,70.9297,106.6792,,64.27033,,74.51447,,,72.94405,73.88593
Australia,AUS,2005,118.0578,65.89158,105.5942,,68.05145,,76.00729,,,74.09361,67.92017
Australia,AUS,2006,116.0391,64.41245,106.1514,,71.92107,,77.42795,,,76.90704,67.96466
Australia,AUS,2007,123.5187,66.9207,108.1794,,76.67851,,80.32355,,,81.12333,68.20979
Australia,AUS,2008,115.7234,62.3713,111.583,,82.62894,,82.84937,,,82.73887,65.63085
Australia,AUS,2009,104.8245,62.1703,103.4823,,81.98687,,82.32095,,,85.2216,62.67289
Australia,AUS,2010,114.8229,76.04462,106.7302,,84.28962,,85.86167,,,86.77318,77.17087
Australia,AUS,2011,108.5012,64.22912,107.0426,,90.77512,,86.74606,,,87.64942,68.38506
Australia,AUS,2012,111.8623,65.07814,105.1123,,98.3446,,90.12704,,,90.46329,67.73066
Australia,AUS,2013,109.8454,75.76151,102.9208,,100.2391,,92.64716,,,92.83257,75.55553
Australia,AUS,2014,103.087,87.7058,101.5236,,103.7481,,97.60358,,,96.35315,89.83508
Australia,AUS,2015,100.0,100.0,100.0,,100.0,,100.0,,,100.0,100.0
Australia,AUS,2016,94.29378,97.61552,98.25407,,97.04064,,102.2292,,,102.8296,103.0576
Australia,AUS,2017,87.26524,94.07491,98.99553,,98.79115,,103.6494,,,104.9778,95.55038
Australia,AUS,2018,73.39315,88.60784,100.4802,,101.374,,107.8284,,,107.2373,99.02795
Australia,AUS,2019,61.56437,73.87622,98.56467,,99.26347,,110.2222,,,107.6089,77.49963
Australia,AUS,2020,43.06076,77.9142,97.44599,,93.38305,,109.3738,,,110.4999,80.85131
Austria,AUT,2000,,,71.23725,65.23333,76.67694,,70.08801,73.29593,83.3777,95.29883,
Austria,AUT,2001,,,72.71862,74.09167,76.09366,,72.21729,73.73276,84.24847,93.17329,
