Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Australia,Amphibians,15.0,15.0,10.0,10.0,12.0,12.0,15.678,15.612,238.0,37.0,239.0,37.0
Australia,Birds,17.0,17.0,55.0,55.0,63.0,63.0,17.471,17.092,782.0,135.0,799.0,135.0
Australia,Fish,7.0,7.0,19.0,19.0,24.0,24.0,0.953,0.945,5257.0,50.0,5305.0,50.0
Australia,Freshwater Fish,3.0,3.0,17.0,17.0,16.0,16.0,10.682,9.6,337.0,36.0,375.0,36.0
Australia,Invertebrates,30.0,30.0,22.0,22.0,13.0,13.0,,0.059,,65.0,114095.0,65.0
Australia,Lichens,,,,,,,,,3878.0,,3880.0,
Australia,Mammals,10.0,10.0,38.0,38.0,59.0,59.0,30.747,28.61,353.0,107.0,380.0,107.0
Australia,Marine Fish,4.0,4.0,2.0,2.0,8.0,8.0,0.278,0.278,5040.0,14.0,5051.0,14.0
Australia,Mosses,,,,,1.0,1.0,0.056,0.056,1865.0,1.0,1871.0,1.0
Australia,Reptiles,10.0,10.0,20.0,20.0,31.0,31.0,5.843,5.821,1075.0,61.0,1080.0,61.0
Australia,Vascular plants,198.0,198.0,555.0,555.0,588.0,588.0,7.608,6.647,21020.0,1341.0,23968.0,1341.0
Austria,Amphibians,1.0,1.0,3.0,3.0,8.0,8.0,60.0,60.0,20.0,12.0,20.0,12.0
Austria,Birds,14.0,14.0,24.0,24.0,28.0,28.0,30.986,30.986,213.0,66.0,213.0,66.0
Austria,Fish,6.0,6.0,18.0,18.0,15.0,15.0,46.429,46.429,84.0,39.0,84.0,39.0
Austria,Freshwater Fish,6.0,6.0,18.0,18.0,15.0,15.0,46.429,46.429,84.0,39.0,84.0,39.0
Austria,Invertebrates,302.0,302.0,310.0,310.0,356.0,356.0,2.14,2.14,45244.0,968.0,45244.0,968.0
