Region,Year,REG_ID,    Labour Force with Elementary Education (ISCED 0-2),    Labour Force with Secondary education (ISCED 3-4),    Labour Force with Tertiary education (ISCED 5-8),    Labour Force with Unknown Educational Level,    R&D Employment in Full-Time Equivalent by the Business Sector,    R&D Employment in Full-Time Equivalent by the Government Sector,    R&D Employment in Full-Time Equivalent by the Higher Education Sector,    R&D Employment in Full-Time Equivalent by the Private and Non-Profit Sector,"    R&D Expenditures Performed by the Business Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Business Sector (millions of current national currency),"    R&D Expenditures Performed by the Government Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Government Sector (millions of current national currency),"    R&D Expenditures Performed by the Higher Education Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Higher Education Sector (millions of current national currency),"    R&D Expenditures Performed by the Private and Non-Profit Sector (millions USD, constant prices, constant PPP, base year 2010)",    R&D Expenditures Performed by the Private and Non-Profit Sector (millions of current national currency),    R&D Female Employed by the Business Sector Rate (in % of Female employment),    R&D Female Employed by the Government Sector Rate (in % of Female employment),    R&D Female Employed by the Higher Education Sector Rate (in % of Female employment),    R&D Female Employed by the Private and Non-Profit Sector Rate (in % of Female employment),    R&D Female Personnel Employed by the Business Sector,    R&D Female Personnel Employed by the Government Sector,    R&D Female Personnel Employed by the Higher Education Sector,    R&D Female Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Business Sector,    R&D Personnel Employed by the Business Sector Rate (in % of total employment),    R&D Personnel Employed by the Government Sector,    R&D Personnel Employed by the Government Sector Rate (in % of total employment),    R&D Personnel Employed by the Higher Education Sector,    R&D Personnel Employed by the Higher Education Sector Rate (in % of total employment),    R&D Personnel Employed by the Private and Non-Profit Sector,    R&D Personnel Employed by the Private and Non-Profit Sector Rate (in % of total employment),    Share of R&D Expenditures Performed by the Business Sector (in % of GDP),    Share of R&D Expenditures Performed by the Government Sector (in % of GDP),    Share of R&D Expenditures Performed by the Higher Education Sector (in % of GDP),    Share of R&D Expenditures Performed by the Private and Non-Profit Sector (in % of GDP),"    Share of R&D Female Employed by the Government Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Higher Education Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Employed by the Private and Non-Profit Sector (in % of total R&D personnel, same sector)","    Share of R&D Female Personnel Employed by the Business Sector (in % of total R&D personnel, same sector)",    Student Enrolment at Elementary Level (ISCED 0-2),    Student Enrolment at Elementary Level Rate (in % of population),    Student Enrolment at Secondary Level (ISCED 3-4),    Student Enrolment at Secondary Level Rate (in % of population),    Student Enrolment at Tertiary Level (ISCED 5-6),    Student Enrolment at Tertiary Level Rate (in % of population),Employment in high-technology manufacturing,Employment in knowledge-intensive services,"Employment rate for 25 to 64 year-olds, below upper secondary education","Employment rate for 25 to 64 year-olds, with tertiary education","Employment rate for 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Labour Force Total,"PCT Patent Applications, count (fractional count; by inventor place of residence and priority year)","PCT co-patent applications, all count (total count; by inventor and priority year)",PCT patent applications in ICT - count,PCT patent applications in biotech - count,PCT patent applications in medical - count,PCT patent applications in nanotech - count,PCT patent applications in pharmaceuticals - count,PCT patent applications per million inhabitants (fractional count; by inventor and priority year) - level,R&D Female Personnel Rate (in % of Female employment),R&D Total Employment in Full-Time Equivalent,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",R&D Total Expenditure (millions of current national currency),R&D Total Female Personnel,R&D Total Personnel,R&D Total Personnel Rate (in % of total employment),Share of Labour Force with Elementary Education (in % of labour force),Share of Labour Force with Secondary Education (in % of labour force),Share of Labour Force with Tertiary Education (in % of labour force),Share of R&D Female in R&D Total Personnel,Share of R&D Total Expenditure (in % of GDP),Share of employment in high-technology manufacturing (in % of total employment),Share of employment in knowledge-intensive services (as a share of total employment),Share of population 25 to 64 year-olds with tertiary education ,"Share of population 25 to 64 year-olds, below upper secondary education","Share of population 25 to 64 year-olds, with upper secondary and post-secondary non-tertiary education",Student Enrolment Total,"Total employment, all activities"
Australia,2000,AUS,,,,,,,,,4949.78,4918.77,2362.68,2347.88,2751.75,2789.75,290.86,289.038,,,,,,,,,28391.2,0.32,18151.1,0.2,46286.9,0.52,2791.4,0.03,0.7,0.33,0.4,0.04,,,,,3247430.0,17.1,,,,,,,,,,,1735.08,,621.709,189.608,163.595,9.5,161.966,91.2,,,10410.7,10345.4,,95620.6,1.07,,,,,1.47,,,,,,,
Australia,2001,AUS,5599300.0,1734900.0,2750300.0,,,,,,6057.64,6191.88,,,,,,,,,,,,,,,32209.0,0.36,,,,,,,0.82,,,,,,,,3268180.0,17.0,,,825560.0,4.3,,,,,,10084600.0,1725.7,,624.88,227.402,163.212,21.0334,177.31,89.5,,,,,,,,55.5,17.2,27.3,,,,,,,,,
Australia,2002,AUS,4845200.0,2352000.0,3167100.0,,,,,,6467.35,6816.5,2349.33,2476.16,3189.51,3429.6,341.13,359.548,,,,,,,,,35939.0,0.39,18541.0,0.2,49612.0,0.54,3117.0,0.03,0.85,0.31,0.43,0.04,,,,,3301750.0,16.9,,,,,,,,,,10364100.0,1746.71,,549.596,204.539,189.361,16.3251,180.453,89.6,,,12411.7,13081.8,,107209.0,1.17,46.7,22.7,30.6,,1.63,,,,,,,
Australia,2003,AUS,4820900.0,2402600.0,3235600.0,,,,,,7135.7,7769.95,,,,,,,,,,,,,,,37429.6,0.4,,,,,,,0.9,,,,,,,,3318620.0,16.8,,,,,,,,,,10459100.0,1869.83,,549.089,218.059,180.889,17.6001,162.237,94.8,,,,,,,,46.1,23.0,30.9,,,,,,,,,
Australia,2004,AUS,4119200.0,3824900.0,3493400.0,,,,,,7569.74,8555.56,2192.83,2478.41,3752.89,4327.16,423.68,478.861,,,,,,,,,40458.0,0.42,16687.4,0.17,55203.9,0.58,3844.9,0.04,0.93,0.27,0.47,0.05,,,,,3332270.0,16.7,,,,,,,,,,11437500.0,2016.33,,581.858,180.272,209.228,17.9249,180.006,101.2,,,14014.8,15840.0,,116194.0,1.22,36.0,33.4,30.5,,1.72,,,,,,,
Australia,2005,AUS,,,,,,,,,8784.61,10434.2,,,,,,,,,,,,,,,43686.5,0.44,,,,,,,1.05,,,,,,,,3348140.0,16.6,,,918500.0,4.6,,,,,,,2067.44,,587.904,217.789,260.517,9.7143,184.917,102.5,,,,,,,,,,,,,,,,,,,
Australia,2006,AUS,3526990.0,3569170.0,3498640.0,,,,,,10133.2,12639.3,2475.26,3087.42,4269.95,5433.53,488.18,608.916,,,,,,,,,46461.7,0.46,16760.0,0.17,58905.2,0.58,4574.9,0.05,1.16,0.28,0.5,0.06,,,,,,,,,,,,,,,,10594900.0,2032.3,,590.255,204.054,244.546,9.0001,188.264,99.4,,,17452.8,21769.2,,126702.0,1.25,33.3,33.7,33.0,,2.0,,,,,,,
Australia,2007,AUS,3435140.0,3719070.0,3642430.0,,,,,,11541.5,15047.4,,,,,,,,,,,,,,,50896.1,0.49,,,,,,,1.28,,,,,,,,,,,,,,,,,,,10796600.0,1987.32,,522.517,219.697,218.468,16.5,206.195,95.4,,,,,,,,31.8,34.4,33.7,,,,,,,,,
Australia,2008,AUS,3324210.0,3740470.0,3913040.0,,,,,,12630.8,17291.2,2498.59,3420.5,4900.01,6843.5,543.4,743.9,,,,,,,,,53885.7,0.5,17042.2,0.16,61773.2,0.58,4787.6,0.04,1.37,0.27,0.54,0.06,,,,,3444470.0,16.2,,,,,,,,,,10977700.0,1816.1,,569.76,193.68,230.316,17.3035,178.332,85.5,,,20671.8,28299.1,,137489.0,1.28,30.3,34.1,35.6,,2.25,,,,,,,
Australia,2009,AUS,3242490.0,3828520.0,4134230.0,,,,,,12101.2,16759.6,,,,,,,,,,,,,,,57936.0,0.54,,,,,,,1.29,,,,,,,,3472390.0,16.0,,,,,,,,,,11205300.0,1818.01,,526.881,176.165,203.609,11.8333,152.999,83.8,,,,,,,,28.9,34.2,36.9,,,,,,,,,
